name,source,logMstar_gal,g_minus_i,has_nsc,colour_class_fig3,host_type_fig3
fig03_0138,NGFS,6.188619930028916,0.7799999713897705,False,red_sequence,early
fig03_0139,NGFS,5.592400048136712,0.6000000238418579,False,red_sequence,early
fig03_0140,NGFS,6.138829882144929,0.7699999809265137,False,red_sequence,early
fig03_0141,NGFS,6.300640030264856,1.159999966621399,False,red_sequence,early
fig03_0142,NGFS,6.536200062215329,0.800000011920929,False,red_sequence,early
fig03_0143,NGFS,6.1086200063228615,0.7799999713897705,False,red_sequence,early
fig03_0144,NGFS,5.963249954223634,0.75,False,red_sequence,early
fig03_0145,NGFS,5.262079912662507,0.5199999809265137,False,red_sequence,early
fig03_0146,NGFS,5.212490094840527,0.3100000023841858,False,red_sequence,early
fig03_0147,NGFS,8.448770069718362,1.6299999952316284,True,red_sequence,early
fig03_0148,NGFS,6.586410014331341,0.7900000214576721,False,red_sequence,early
fig03_0149,NGFS,5.714300014078618,0.699999988079071,False,red_sequence,early
fig03_0150,NGFS,7.8576802061200155,0.9200000166893005,False,red_sequence,early
fig03_0151,NGFS,7.98114991080761,0.8500000238418579,True,red_sequence,early
fig03_0152,NGFS,5.855030096948148,0.5699999928474426,True,red_sequence,early
fig03_0153,NGFS,6.321129815250637,0.4699999988079071,True,red_sequence,early
fig03_0154,NGFS,6.607689928174019,1.1100000143051147,False,red_sequence,early
fig03_0155,NGFS,6.708400032877923,0.6000000238418579,True,red_sequence,early
fig03_0156,NGFS,5.840510179817677,0.6899999976158142,False,red_sequence,early
fig03_0157,NGFS,8.206320120215416,1.0800000429153442,False,red_sequence,early
fig03_0158,NGFS,6.304949766397477,1.0499999523162842,False,red_sequence,early
fig03_0159,NGFS,6.995799913167954,1.2000000476837158,False,red_sequence,early
fig03_0160,NGFS,7.858410136401654,0.7900000214576721,True,red_sequence,early
fig03_0161,NGFS,7.300200001180173,0.800000011920929,False,red_sequence,early
fig03_0162,NGFS,6.770829851627351,0.7699999809265137,True,red_sequence,early
fig03_0163,NGFS,5.97810010445118,0.8999999761581421,False,red_sequence,early
fig03_0164,NGFS,7.044019840836525,1.3799999952316284,False,red_sequence,early
fig03_0165,NGFS,6.937040169954301,0.7599999904632568,False,red_sequence,early
fig03_0166,NGFS,7.77662003684044,0.7799999713897705,True,red_sequence,early
fig03_0167,NGFS,6.267269871354104,1.1299999952316284,False,red_sequence,early
fig03_0168,NGFS,6.1310299291014685,0.5699999928474426,False,red_sequence,early
fig03_0169,NGFS,7.13547013193369,0.9300000071525574,True,red_sequence,early
fig03_0170,NGFS,7.487160069465638,1.0399999618530273,False,red_sequence,early
fig03_0171,NGFS,6.0920899398922925,0.7099999785423279,False,red_sequence,early
fig03_0172,NGFS,7.3144998626709,0.5,False,blue_cloud,late
fig03_0173,NGFS,5.8626299021244055,0.9700000286102295,False,red_sequence,early
fig03_0174,NGFS,5.8939899117350585,0.8100000023841858,False,red_sequence,early
fig03_0175,NGFS,6.331489783763886,1.309999942779541,False,red_sequence,early
fig03_0176,NGFS,5.419009828865529,0.1899999976158142,False,blue_cloud,late
fig03_0177,NGFS,7.642939851880074,0.8600000143051147,False,red_sequence,early
fig03_0178,NGFS,7.829790124177934,1.0099999904632568,True,red_sequence,early
fig03_0179,NGFS,8.090519901871682,0.8799999952316284,True,red_sequence,early
fig03_0180,NGFS,5.748730037093163,0.8700000047683716,False,red_sequence,early
fig03_0181,NGFS,5.69671016573906,0.49000000953674316,False,red_sequence,early
fig03_0182,NGFS,6.998719933569432,0.6800000071525574,False,red_sequence,early
fig03_0183,NGFS,6.068399880290032,0.6000000238418579,True,red_sequence,early
fig03_0184,NGFS,5.449769993424416,0.6299999952316284,False,red_sequence,early
fig03_0185,NGFS,7.836420117855073,0.9800000190734863,False,red_sequence,early
fig03_0186,NGFS,7.348929885685445,0.6700000166893005,False,red_sequence,early
fig03_0187,NGFS,7.115359795987606,0.8399999737739563,True,red_sequence,early
fig03_0188,NGFS,8.141259935677052,0.9399999976158142,False,red_sequence,early
fig03_0189,NGFS,5.771670041561127,0.7300000190734863,False,red_sequence,early
fig03_0190,NGFS,7.610939882397653,0.8600000143051147,False,red_sequence,early
fig03_0191,NGFS,7.991049983561039,0.949999988079071,True,red_sequence,early
fig03_0192,NGFS,5.53998009812832,0.6200000047683716,False,red_sequence,early
fig03_0193,NGFS,5.3769301450848594,0.6700000166893005,False,red_sequence,early
fig03_0194,NGFS,8.195889883577824,0.9100000262260437,True,red_sequence,early
fig03_0195,NGFS,6.4191600389480605,1.0399999618530273,False,red_sequence,early
fig03_0196,NGFS,6.938519856095315,0.8799999952316284,True,red_sequence,early
fig03_0197,NGFS,5.359450092732907,0.550000011920929,False,red_sequence,early
fig03_0198,NGFS,8.08041998052597,0.9800000190734863,True,red_sequence,early
fig03_0199,NGFS,7.841989865958691,0.8100000023841858,True,red_sequence,early
fig03_0200,NGFS,7.987779822289944,0.8199999928474426,True,red_sequence,early
fig03_0201,NGFS,8.627469948828221,0.9300000071525574,True,red_sequence,early
fig03_0202,NGFS,8.020730159163476,0.8700000047683716,False,red_sequence,early
fig03_0203,NGFS,5.626720192968846,0.6800000071525574,False,red_sequence,early
fig03_0204,NGFS,7.548199955403805,0.800000011920929,True,red_sequence,early
fig03_0205,NGFS,6.362939928174019,0.8600000143051147,False,red_sequence,early
fig03_0206,NGFS,7.862520023941995,0.8799999952316284,True,red_sequence,early
fig03_0207,NGFS,5.85220004695654,0.800000011920929,False,red_sequence,early
fig03_0208,NGFS,8.132310148119927,0.8899999856948853,True,red_sequence,early
fig03_0209,NGFS,6.080090046703816,0.7099999785423279,False,red_sequence,early
fig03_0210,NGFS,5.955670056819916,0.7300000190734863,False,red_sequence,early
fig03_0211,NGFS,8.597260073006154,0.9399999976158142,True,red_sequence,early
fig03_0212,NGFS,6.647979899764062,0.6200000047683716,False,red_sequence,early
fig03_0213,NGFS,8.019359887540341,0.8399999737739563,True,red_sequence,early
fig03_0214,NGFS,6.021460089445115,0.7400000095367432,False,red_sequence,early
fig03_0215,NGFS,6.324509813606739,0.6899999976158142,False,red_sequence,early
fig03_0216,NGFS,8.319049861490727,0.949999988079071,True,red_sequence,early
fig03_0217,NGFS,8.55558000421524,1.0199999809265137,True,red_sequence,early
fig03_0218,NGFS,7.9053700520992285,1.0299999713897705,True,red_sequence,early
fig03_0219,NGFS,7.3971498955488215,0.8500000238418579,False,red_sequence,early
fig03_0220,NGFS,7.93547013193369,0.9300000071525574,True,red_sequence,early
fig03_0221,NGFS,5.585150002360344,0.8500000238418579,False,red_sequence,early
fig03_0222,NGFS,7.8216801450848585,0.9200000166893005,False,red_sequence,early
fig03_0223,NGFS,5.94376013404131,0.4399999976158142,False,red_sequence,early
fig03_0224,NGFS,7.71210992395878,1.090000033378601,False,red_sequence,early
fig03_0225,NGFS,8.20777989858389,0.8199999928474426,False,red_sequence,early
fig03_0226,NGFS,7.153460058927537,0.7400000095367432,True,red_sequence,early
fig03_0227,NGFS,6.706339945793152,1.4600000381469727,False,red_sequence,early
fig03_0228,NGFS,5.9674701014161124,0.9300000071525574,False,red_sequence,early
fig03_0229,NGFS,8.403470162451267,0.9300000071525574,True,red_sequence,early
fig03_0230,NGFS,8.200749908447266,1.25,False,red_sequence,early
fig03_0231,NGFS,5.515449848592282,0.550000011920929,False,red_sequence,early
fig03_0232,NGFS,8.174519917130471,0.8799999952316284,True,red_sequence,early
fig03_0233,NGFS,9.527799882650376,1.2000000476837158,True,red_sequence,early
fig03_0234,NGFS,6.817659846484662,0.5400000214576721,False,red_sequence,early
fig03_0235,NGFS,8.472729823470116,0.8700000047683716,False,red_sequence,early
fig03_0236,NGFS,9.118210135221483,0.9900000095367432,True,red_sequence,early
fig03_0237,NGFS,8.690099997639656,0.8999999761581421,True,red_sequence,early
fig03_0238,NGFS,8.94262982583046,0.9700000286102295,True,red_sequence,early
fig03_0239,NGFS,8.667890005648138,0.9100000262260437,True,red_sequence,early
fig03_0240,NGFS,8.813370235204697,1.0299999713897705,True,red_sequence,early
fig03_0241,NGFS,8.59852008497715,0.8799999952316284,True,red_sequence,early
fig03_0242,NGFS,8.458939836621285,0.8600000143051147,True,red_sequence,early
fig03_0243,NGVS,7.3,0.7899999999999991,False,red_sequence,early
fig03_0244,NGVS,6.8,0.5300000000000011,False,red_sequence,early
